k,points,radius,akurasi
0.01,16.0,13.0,47.05882352941177
0.015,16.0,13.0,76.47058823529412
0.02,16.0,13.0,76.47058823529412
0.005,16.0,14.0,11.764705882352942
0.01,16.0,14.0,47.05882352941177
0.015,16.0,14.0,70.58823529411765
0.02,16.0,14.0,76.47058823529412
0.005,16.0,15.0,11.764705882352942
0.01,16.0,15.0,41.1764705882353
0.015,16.0,15.0,76.47058823529412
0.02,16.0,15.0,76.47058823529412
0.005,16.0,16.0,11.764705882352942
0.01,16.0,16.0,47.05882352941177
0.015,16.0,16.0,76.47058823529412
0.02,16.0,16.0,70.58823529411765
0.005,16.0,17.0,11.764705882352942
0.01,16.0,17.0,47.05882352941177
0.015,16.0,17.0,76.47058823529412
0.02,16.0,17.0,70.58823529411765
0.005,16.0,18.0,11.764705882352942
0.01,16.0,18.0,52.94117647058823
0.015,16.0,18.0,82.3529411764706
0.02,16.0,18.0,70.58823529411765
0.005,16.0,19.0,11.764705882352942
0.01,16.0,19.0,52.94117647058823
0.015,16.0,19.0,82.3529411764706
0.02,16.0,19.0,76.47058823529412
0.005,16.0,20.0,11.764705882352942
0.01,16.0,20.0,52.94117647058823
0.015,16.0,20.0,82.3529411764706
0.02,16.0,20.0,76.47058823529412
0.005,20.0,4.0,17.647058823529413
0.01,20.0,4.0,58.8235294117647
0.015,20.0,4.0,64.70588235294117
0.02,20.0,4.0,52.94117647058823
0.005,20.0,5.0,17.647058823529413
0.01,20.0,5.0,47.05882352941177
0.015,20.0,5.0,64.70588235294117
0.02,20.0,5.0,58.8235294117647
0.005,20.0,6.0,11.764705882352942
0.01,20.0,6.0,47.05882352941177
0.015,20.0,6.0,64.70588235294117
0.02,20.0,6.0,58.8235294117647
0.005,20.0,7.0,11.764705882352942
0.01,20.0,7.0,47.05882352941177
0.015,20.0,7.0,64.70588235294117
0.02,20.0,7.0,64.70588235294117
0.005,20.0,8.0,11.764705882352942
0.01,20.0,8.0,47.05882352941177
0.015,20.0,8.0,64.70588235294117
0.02,20.0,8.0,64.70588235294117
0.005,20.0,9.0,11.764705882352942
0.01,20.0,9.0,47.05882352941177
0.015,20.0,9.0,64.70588235294117
0.02,20.0,9.0,64.70588235294117
0.005,20.0,10.0,17.647058823529413
0.01,20.0,10.0,47.05882352941177
0.015,20.0,10.0,64.70588235294117
0.02,20.0,10.0,70.58823529411765
0.005,20.0,11.0,11.764705882352942
0.01,20.0,11.0,41.1764705882353
0.015,20.0,11.0,64.70588235294117
0.02,20.0,11.0,64.70588235294117
0.005,20.0,12.0,17.647058823529413
0.01,20.0,12.0,41.1764705882353
0.015,20.0,12.0,64.70588235294117
0.02,20.0,12.0,70.58823529411765
0.005,20.0,13.0,17.647058823529413
0.01,20.0,13.0,41.1764705882353
0.015,20.0,13.0,64.70588235294117
0.02,20.0,13.0,70.58823529411765
0.005,20.0,14.0,11.764705882352942
0.01,20.0,14.0,41.1764705882353
0.015,20.0,14.0,70.58823529411765
0.02,20.0,14.0,76.47058823529412
0.005,20.0,15.0,11.764705882352942
0.01,20.0,15.0,47.05882352941177
0.015,20.0,15.0,70.58823529411765
0.02,20.0,15.0,76.47058823529412
0.005,20.0,16.0,11.764705882352942
0.01,20.0,16.0,41.1764705882353
0.015,20.0,16.0,70.58823529411765
0.02,20.0,16.0,76.47058823529412
0.005,20.0,17.0,11.764705882352942
0.01,20.0,17.0,47.05882352941177
0.015,20.0,17.0,70.58823529411765
0.02,20.0,17.0,70.58823529411765
0.005,20.0,18.0,11.764705882352942
0.01,20.0,18.0,47.05882352941177
0.015,20.0,18.0,70.58823529411765
0.02,20.0,18.0,70.58823529411765
0.005,20.0,19.0,11.764705882352942
0.01,20.0,19.0,58.8235294117647
0.015,20.0,19.0,76.47058823529412
0.02,20.0,19.0,70.58823529411765
0.005,20.0,20.0,11.764705882352942
0.01,20.0,20.0,52.94117647058823
0.015,20.0,20.0,82.3529411764706
0.02,20.0,20.0,76.47058823529412
0.005,24.0,4.0,17.647058823529413
0.01,24.0,4.0,58.8235294117647
0.015,24.0,4.0,64.70588235294117
0.02,24.0,4.0,47.05882352941177
0.005,24.0,5.0,11.764705882352942
0.01,24.0,5.0,47.05882352941177
0.015,24.0,5.0,58.8235294117647
0.02,24.0,5.0,58.8235294117647
0.005,24.0,6.0,11.764705882352942
0.01,24.0,6.0,47.05882352941177
0.015,24.0,6.0,64.70588235294117
0.02,24.0,6.0,52.94117647058823
0.005,24.0,7.0,11.764705882352942
0.01,24.0,7.0,58.8235294117647
0.015,24.0,7.0,64.70588235294117
0.02,24.0,7.0,47.05882352941177
0.005,24.0,8.0,11.764705882352942
0.01,24.0,8.0,47.05882352941177
0.015,24.0,8.0,64.70588235294117
0.02,24.0,8.0,52.94117647058823
0.005,24.0,9.0,17.647058823529413
0.01,24.0,9.0,47.05882352941177
0.015,24.0,9.0,64.70588235294117
0.02,24.0,9.0,64.70588235294117
0.005,24.0,10.0,11.764705882352942
0.01,24.0,10.0,47.05882352941177
0.015,24.0,10.0,64.70588235294117
0.02,24.0,10.0,64.70588235294117
0.005,24.0,11.0,11.764705882352942
0.01,24.0,11.0,41.1764705882353
0.015,24.0,11.0,64.70588235294117
0.02,24.0,11.0,64.70588235294117
0.005,24.0,12.0,11.764705882352942
0.01,24.0,12.0,41.1764705882353
0.015,24.0,12.0,64.70588235294117
0.02,24.0,12.0,64.70588235294117
0.005,24.0,13.0,17.647058823529413
0.01,24.0,13.0,35.294117647058826
0.015,24.0,13.0,64.70588235294117
0.02,24.0,13.0,64.70588235294117
0.005,24.0,14.0,11.764705882352942
0.01,24.0,14.0,47.05882352941177
0.015,24.0,14.0,58.8235294117647
0.02,24.0,14.0,64.70588235294117
0.005,24.0,15.0,17.647058823529413
0.01,24.0,15.0,47.05882352941177
0.015,24.0,15.0,64.70588235294117
0.02,24.0,15.0,70.58823529411765
0.005,24.0,16.0,11.764705882352942
