k,points,radius,akurasi
0.02,8.0,20.0,90.9090909090909
0.005,12.0,4.0,59.09090909090909
0.01,12.0,4.0,45.45454545454545
0.015,12.0,4.0,18.181818181818183
0.02,12.0,4.0,9.090909090909092
0.005,12.0,5.0,54.54545454545455
0.01,12.0,5.0,50.0
0.015,12.0,5.0,31.818181818181817
0.02,12.0,5.0,18.181818181818183
0.005,12.0,6.0,50.0
0.01,12.0,6.0,50.0
0.015,12.0,6.0,36.36363636363637
0.02,12.0,6.0,22.727272727272727
0.005,12.0,7.0,45.45454545454545
0.01,12.0,7.0,68.18181818181819
0.015,12.0,7.0,36.36363636363637
0.02,12.0,7.0,31.818181818181817
0.005,12.0,8.0,27.272727272727273
0.01,12.0,8.0,68.18181818181819
0.015,12.0,8.0,40.90909090909091
0.02,12.0,8.0,22.727272727272727
0.005,12.0,9.0,22.727272727272727
0.01,12.0,9.0,68.18181818181819
0.015,12.0,9.0,54.54545454545455
0.02,12.0,9.0,36.36363636363637
0.005,12.0,10.0,22.727272727272727
0.01,12.0,10.0,77.27272727272727
0.015,12.0,10.0,45.45454545454545
0.02,12.0,10.0,27.272727272727273
0.005,12.0,11.0,18.181818181818183
0.01,12.0,11.0,68.18181818181819
0.015,12.0,11.0,50.0
0.02,12.0,11.0,40.90909090909091
0.005,12.0,12.0,18.181818181818183
0.01,12.0,12.0,77.27272727272727
0.015,12.0,12.0,68.18181818181819
0.02,12.0,12.0,36.36363636363637
0.005,12.0,13.0,4.545454545454546
0.01,12.0,13.0,68.18181818181819
0.015,12.0,13.0,63.63636363636363
0.02,12.0,13.0,36.36363636363637
0.005,12.0,14.0,13.636363636363637
0.01,12.0,14.0,72.72727272727273
0.015,12.0,14.0,68.18181818181819
0.02,12.0,14.0,36.36363636363637
0.005,12.0,15.0,4.545454545454546
0.01,12.0,15.0,72.72727272727273
0.015,12.0,15.0,72.72727272727273
0.02,12.0,15.0,54.54545454545455
0.005,12.0,16.0,9.090909090909092
0.01,12.0,16.0,77.27272727272727
0.015,12.0,16.0,77.27272727272727
0.02,12.0,16.0,45.45454545454545
0.005,12.0,17.0,9.090909090909092
0.01,12.0,17.0,63.63636363636363
0.015,12.0,17.0,90.9090909090909
0.02,12.0,17.0,59.09090909090909
0.005,12.0,18.0,9.090909090909092
0.01,12.0,18.0,68.18181818181819
0.015,12.0,18.0,90.9090909090909
0.02,12.0,18.0,59.09090909090909
0.005,12.0,19.0,9.090909090909092
0.01,12.0,19.0,54.54545454545455
0.015,12.0,19.0,90.9090909090909
0.02,12.0,19.0,63.63636363636363
0.005,12.0,20.0,4.545454545454546
0.01,12.0,20.0,59.09090909090909
0.015,12.0,20.0,90.9090909090909
0.02,12.0,20.0,63.63636363636363
0.005,16.0,4.0,59.09090909090909
0.01,16.0,4.0,36.36363636363637
0.015,16.0,4.0,13.636363636363637
0.02,16.0,4.0,9.090909090909092
0.005,16.0,5.0,54.54545454545455
0.01,16.0,5.0,45.45454545454545
0.015,16.0,5.0,27.272727272727273
0.02,16.0,5.0,13.636363636363637
0.005,16.0,6.0,50.0
0.01,16.0,6.0,54.54545454545455
0.015,16.0,6.0,27.272727272727273
0.02,16.0,6.0,13.636363636363637
0.005,16.0,7.0,40.90909090909091
0.01,16.0,7.0,59.09090909090909
0.015,16.0,7.0,45.45454545454545
0.02,16.0,7.0,27.272727272727273
0.005,16.0,8.0,27.272727272727273
0.01,16.0,8.0,50.0
0.015,16.0,8.0,31.818181818181817
0.02,16.0,8.0,36.36363636363637
0.005,16.0,9.0,27.272727272727273
0.01,16.0,9.0,68.18181818181819
0.015,16.0,9.0,40.90909090909091
0.02,16.0,9.0,36.36363636363637
0.005,16.0,10.0,27.272727272727273
0.01,16.0,10.0,77.27272727272727
0.015,16.0,10.0,36.36363636363637
0.02,16.0,10.0,40.90909090909091
0.005,16.0,11.0,22.727272727272727
0.01,16.0,11.0,77.27272727272727
0.015,16.0,11.0,54.54545454545455
0.02,16.0,11.0,27.272727272727273
0.005,16.0,12.0,18.181818181818183
0.01,16.0,12.0,72.72727272727273
0.015,16.0,12.0,59.09090909090909
0.02,16.0,12.0,31.818181818181817
0.005,16.0,13.0,18.181818181818183
0.01,16.0,13.0,77.27272727272727
0.015,16.0,13.0,54.54545454545455
0.02,16.0,13.0,31.818181818181817
0.005,16.0,14.0,4.545454545454546
0.01,16.0,14.0,81.81818181818181
