k,points,radius,akurasi
0.015,16.0,13.0,47.5
0.02,16.0,13.0,65.0
0.005,16.0,14.0,0.0
0.01,16.0,14.0,12.5
0.015,16.0,14.0,40.0
0.02,16.0,14.0,62.5
0.005,16.0,15.0,0.0
0.01,16.0,15.0,12.5
0.015,16.0,15.0,42.5
0.02,16.0,15.0,67.5
0.005,16.0,16.0,0.0
0.01,16.0,16.0,5.0
0.015,16.0,16.0,32.5
0.02,16.0,16.0,62.5
0.005,16.0,17.0,0.0
0.01,16.0,17.0,5.0
0.015,16.0,17.0,27.5
0.02,16.0,17.0,57.5
0.005,16.0,18.0,0.0
0.01,16.0,18.0,7.5
0.015,16.0,18.0,25.0
0.02,16.0,18.0,52.5
0.005,16.0,19.0,0.0
0.01,16.0,19.0,2.5
0.015,16.0,19.0,25.0
0.02,16.0,19.0,50.0
0.005,16.0,20.0,0.0
0.01,16.0,20.0,2.5
0.015,16.0,20.0,27.5
0.02,16.0,20.0,55.0
0.005,20.0,4.0,0.0
0.01,20.0,4.0,25.0
0.015,20.0,4.0,50.0
0.02,20.0,4.0,32.5
0.005,20.0,5.0,0.0
0.01,20.0,5.0,27.5
0.015,20.0,5.0,52.5
0.02,20.0,5.0,30.0
0.005,20.0,6.0,0.0
0.01,20.0,6.0,15.0
0.015,20.0,6.0,65.0
0.02,20.0,6.0,47.5
0.005,20.0,7.0,0.0
0.01,20.0,7.0,15.0
0.015,20.0,7.0,60.0
0.02,20.0,7.0,65.0
0.005,20.0,8.0,0.0
0.01,20.0,8.0,17.5
0.015,20.0,8.0,52.5
0.02,20.0,8.0,60.0
0.005,20.0,9.0,0.0
0.01,20.0,9.0,5.0
0.015,20.0,9.0,52.5
0.02,20.0,9.0,65.0
0.005,20.0,10.0,0.0
0.01,20.0,10.0,12.5
0.015,20.0,10.0,47.5
0.02,20.0,10.0,72.5
0.005,20.0,11.0,0.0
0.01,20.0,11.0,12.5
0.015,20.0,11.0,55.0
0.02,20.0,11.0,65.0
0.005,20.0,12.0,0.0
0.01,20.0,12.0,15.0
0.015,20.0,12.0,50.0
0.02,20.0,12.0,65.0
0.005,20.0,13.0,0.0
0.01,20.0,13.0,22.5
0.015,20.0,13.0,42.5
0.02,20.0,13.0,67.5
0.005,20.0,14.0,0.0
0.01,20.0,14.0,7.5
0.015,20.0,14.0,42.5
0.02,20.0,14.0,67.5
0.005,20.0,15.0,0.0
0.01,20.0,15.0,10.0
0.015,20.0,15.0,42.5
0.02,20.0,15.0,70.0
0.005,20.0,16.0,0.0
0.01,20.0,16.0,10.0
0.015,20.0,16.0,35.0
0.02,20.0,16.0,65.0
0.005,20.0,17.0,0.0
0.01,20.0,17.0,12.5
0.015,20.0,17.0,27.5
0.02,20.0,17.0,67.5
0.005,20.0,18.0,0.0
0.01,20.0,18.0,7.5
0.015,20.0,18.0,30.0
0.02,20.0,18.0,65.0
0.005,20.0,19.0,0.0
0.01,20.0,19.0,5.0
0.015,20.0,19.0,30.0
0.02,20.0,19.0,60.0
0.005,20.0,20.0,0.0
0.01,20.0,20.0,10.0
0.015,20.0,20.0,35.0
0.02,20.0,20.0,62.5
0.005,24.0,4.0,0.0
0.01,24.0,4.0,35.0
0.015,24.0,4.0,45.0
0.02,24.0,4.0,27.5
0.005,24.0,5.0,0.0
0.01,24.0,5.0,12.5
0.015,24.0,5.0,55.0
0.02,24.0,5.0,35.0
0.005,24.0,6.0,0.0
0.01,24.0,6.0,12.5
0.015,24.0,6.0,60.0
0.02,24.0,6.0,37.5
0.005,24.0,7.0,0.0
0.01,24.0,7.0,25.0
0.015,24.0,7.0,60.0
0.02,24.0,7.0,55.0
0.005,24.0,8.0,0.0
0.01,24.0,8.0,15.0
0.015,24.0,8.0,57.5
0.02,24.0,8.0,62.5
0.005,24.0,9.0,0.0
0.01,24.0,9.0,15.0
0.015,24.0,9.0,52.5
0.02,24.0,9.0,62.5
0.005,24.0,10.0,0.0
0.01,24.0,10.0,10.0
0.015,24.0,10.0,50.0
0.02,24.0,10.0,62.5
0.005,24.0,11.0,0.0
0.01,24.0,11.0,20.0
0.015,24.0,11.0,57.5
0.02,24.0,11.0,65.0
0.005,24.0,12.0,0.0
0.01,24.0,12.0,15.0
0.015,24.0,12.0,50.0
0.02,24.0,12.0,60.0
0.005,24.0,13.0,0.0
0.01,24.0,13.0,15.0
0.015,24.0,13.0,45.0
0.02,24.0,13.0,70.0
0.005,24.0,14.0,0.0
0.01,24.0,14.0,15.0
0.015,24.0,14.0,50.0
0.02,24.0,14.0,70.0
0.005,24.0,15.0,0.0
0.01,24.0,15.0,10.0
0.015,24.0,15.0,55.0
0.02,24.0,15.0,77.5
0.005,24.0,16.0,0.0
0.01,24.0,16.0,5.0
0.015,24.0,16.0,50.0
0.02,24.0,16.0,72.5
0.005,24.0,17.0,0.0
0.01,24.0,17.0,7.5
0.015,24.0,17.0,40.0
0.02,24.0,17.0,70.0
0.005,24.0,18.0,0.0
0.01,24.0,18.0,12.5
0.015,24.0,18.0,27.5
0.02,24.0,18.0,60.0
0.005,24.0,19.0,0.0
0.01,24.0,19.0,7.5
0.015,24.0,19.0,30.0
0.02,24.0,19.0,57.5
0.005,24.0,20.0,0.0
0.01,24.0,20.0,10.0
0.015,24.0,20.0,40.0
0.02,24.0,20.0,62.5
0.005,28.0,4.0,0.0
0.01,28.0,4.0,35.0
0.015,28.0,4.0,40.0
0.02,28.0,4.0,27.5
0.005,28.0,5.0,0.0
0.01,28.0,5.0,25.0
0.015,28.0,5.0,42.5
0.02,28.0,5.0,17.5
0.005,28.0,6.0,0.0
0.01,28.0,6.0,12.5
0.015,28.0,6.0,57.5
0.02,28.0,6.0,37.5
0.005,28.0,7.0,0.0
0.01,28.0,7.0,12.5
0.015,28.0,7.0,57.5
0.02,28.0,7.0,50.0
0.005,28.0,8.0,0.0
0.01,28.0,8.0,12.5
0.015,28.0,8.0,47.5
0.02,28.0,8.0,52.5
0.005,28.0,9.0,0.0
0.01,28.0,9.0,22.5
0.015,28.0,9.0,62.5
0.02,28.0,9.0,55.0
0.005,28.0,10.0,0.0
0.01,28.0,10.0,12.5
0.015,28.0,10.0,55.0
0.02,28.0,10.0,57.5
0.005,28.0,11.0,0.0
0.01,28.0,11.0,12.5
0.015,28.0,11.0,62.5
0.02,28.0,11.0,60.0
0.005,28.0,12.0,0.0
0.01,28.0,12.0,10.0
0.015,28.0,12.0,62.5
0.02,28.0,12.0,62.5
0.005,28.0,13.0,0.0
0.01,28.0,13.0,22.5
0.015,28.0,13.0,55.0
0.02,28.0,13.0,67.5
0.005,28.0,14.0,0.0
0.01,28.0,14.0,15.0
0.015,28.0,14.0,52.5
0.02,28.0,14.0,70.0
0.005,28.0,15.0,0.0
0.01,28.0,15.0,12.5
0.015,28.0,15.0,45.0
0.02,28.0,15.0,70.0
0.005,28.0,16.0,0.0
0.01,28.0,16.0,12.5
0.015,28.0,16.0,52.5
0.02,28.0,16.0,75.0
0.005,28.0,17.0,0.0
0.01,28.0,17.0,7.5
0.015,28.0,17.0,37.5
0.02,28.0,17.0,67.5
0.005,28.0,18.0,0.0
0.01,28.0,18.0,10.0
0.015,28.0,18.0,47.5
0.02,28.0,18.0,67.5
0.005,28.0,19.0,0.0
0.01,28.0,19.0,7.5
0.015,28.0,19.0,35.0
0.02,28.0,19.0,72.5
0.005,28.0,20.0,0.0
0.01,28.0,20.0,7.5
0.015,28.0,20.0,35.0
0.02,28.0,20.0,65.0
0.005,32.0,4.0,0.0
0.01,32.0,4.0,25.0
0.015,32.0,4.0,47.5
0.02,32.0,4.0,20.0
0.005,32.0,5.0,0.0
0.01,32.0,5.0,25.0
0.015,32.0,5.0,35.0
0.02,32.0,5.0,20.0
0.005,32.0,6.0,0.0
0.01,32.0,6.0,12.5
0.015,32.0,6.0,47.5
0.02,32.0,6.0,32.5
0.005,32.0,7.0,0.0
0.01,32.0,7.0,27.5
0.015,32.0,7.0,52.5
0.02,32.0,7.0,42.5
0.005,32.0,8.0,0.0
0.01,32.0,8.0,20.0
0.015,32.0,8.0,57.5
0.02,32.0,8.0,47.5
0.005,32.0,9.0,0.0
0.01,32.0,9.0,15.0
0.015,32.0,9.0,65.0
0.02,32.0,9.0,45.0
0.005,32.0,10.0,0.0
0.01,32.0,10.0,12.5
0.015,32.0,10.0,57.5
0.02,32.0,10.0,60.0
0.005,32.0,11.0,0.0
0.01,32.0,11.0,20.0
0.015,32.0,11.0,65.0
0.02,32.0,11.0,57.5
0.005,32.0,12.0,0.0
0.01,32.0,12.0,20.0
0.015,32.0,12.0,67.5
0.02,32.0,12.0,60.0
0.005,32.0,13.0,0.0
0.01,32.0,13.0,15.0
0.015,32.0,13.0,55.0
0.02,32.0,13.0,65.0
0.005,32.0,14.0,0.0
0.01,32.0,14.0,10.0
0.015,32.0,14.0,60.0
0.02,32.0,14.0,72.5
0.005,32.0,15.0,0.0
0.01,32.0,15.0,12.5
0.015,32.0,15.0,55.0
0.02,32.0,15.0,75.0
0.005,32.0,16.0,0.0
0.01,32.0,16.0,17.5
0.015,32.0,16.0,50.0
0.02,32.0,16.0,75.0
0.005,32.0,17.0,0.0
0.01,32.0,17.0,7.5
0.015,32.0,17.0,45.0
0.02,32.0,17.0,72.5
0.005,32.0,18.0,0.0
0.01,32.0,18.0,15.0
0.015,32.0,18.0,47.5
0.02,32.0,18.0,67.5
0.005,32.0,19.0,0.0
0.01,32.0,19.0,5.0
0.015,32.0,19.0,45.0
0.02,32.0,19.0,72.5
0.005,32.0,20.0,0.0
0.01,32.0,20.0,7.5
0.015,32.0,20.0,42.5
0.02,32.0,20.0,67.5
0.005,36.0,4.0,0.0
0.01,36.0,4.0,30.0
0.015,36.0,4.0,37.5
0.02,36.0,4.0,27.5
0.005,36.0,5.0,0.0
0.01,36.0,5.0,32.5
